npa,nom,membre,attente
1201,Genève,47.0,61.5
1202,Genève,37.0,52.0
1203,Genève,32.5,58.0
1204,Genève,11.0,7.0
1205,Genève,47.0,44.0
1206,Genève,8.0,3.5
1207,Genève,4.5,8.0
1208,Genève,9.5,4.0
1209,Genève,3.0,3.5
1212,Grand-Lancy,2.0,15.0
1213,Onex,10.5,12.5
1214,Vernier,5.0,0.0
1215,Genève,0.0,0.0
1216,Cointrin,4.5,0.0
1217,Meyrin,92.5,30.5
1218,Le Grand-Saconnex,4.0,6.0
1219,Le Lignon,15.0,12.0
1220,Les Avanchets,3.0,0.0
1222,Vésenaz,0.0,0.0
1223,Cologny,0.0,0.0
1224,Chêne-Bougeries,2.0,11.5
1225,Chêne-Bourg,2.0,2.0
1226,Thônex,6.0,8.0
1227,Les Acacias,16.0,34.5
1228,Plan-les-Ouates,12.5,13.5
1231,Conches,1.0,1.0
1232,Confignon,2.0,1.0
1233,Bernex,1.0,3.0
1234,Vessy,2.5,2.0
1236,Cartigny,0.0,0.0
1237,Avully,0.0,0.0
1239,Collex,0.0,0.0
1241,Puplinge,0.0,0.0
1242,Satigny,1.0,0.0
1243,Presinge,0.0,0.0
1244,Choulex,4.0,0.0
1245,Collonge-Bellerive,0.0,1.0
1246,Corsier GE,0.0,0.0
1247,Anières,0.0,1.0
1248,Hermance,0.0,0.0
1251,Gy,0.0,0.0
1252,Meinier,0.0,5.0
1253,Vandoeuvres,1.0,2.0
1254,Jussy,1.0,0.0
1255,Veyrier,0.0,0.0
1256,Troinex,3.0,0.0
1257,La Croix-de-Rozon,2.0,0.0
1258,Perly,0.0,0.0
1281,Russin,0.0,0.0
1283,La Plaine,2.0,0.0
1284,Chancy,0.0,0.0
1285,Athenaz (Avusy),0.0,0.0
1286,Soral,0.0,0.0
1287,Laconnex,0.0,0.0
1288,Aire-la-Ville,0.0,1.0
1290,Versoix,1.0,3.0
1292,Chambésy,1.0,0.0
1293,Bellevue,0.0,0.0
1294,Genthod,0.0,0.0
1298,Céligny,0.0,0.0
