lieu,adresse,type,npa,lat,lon
Chez la Simone,Chemin de la Gouille Noire 11,Épicerie / magasin,1244,46.22607,6.226773
Ferme de Budé,Chemin Moïse-Duboule 2,Épicerie / magasin,1209,46.224695,6.129074
La Fève – Supermarché Participatif Paysan,Esplanade des Récréations 19,Épicerie / magasin,1217,46.232049,6.071402
Le Nid,Chemin du 23 août 5,Épicerie / magasin,1205,46.202738,6.135012
L'épicerie du Marché,Rue du Marché 2,Épicerie / magasin,1227,46.203546,6.145618
L'Épi'Sciers (Coopérative du Village),Chemin du Bois-Ecard 10,Épicerie / magasin,1228,46.16764,6.132354
La Boulangerie des Grottes,Rue des Grottes 5,Épicerie / magasin,1201,46.209966,6.140137
Ferme de la Touvière (Boutique),Route du Carre-d'Aval 10,Épicerie / magasin,1252,46.236298,6.223021
Cultures Locales (Vente directe),Route du Mandement 548,Épicerie / magasin,1283,46.197525,5.992694
Potagers de Gaia (Vente directe),Route d'Hermance 527,Épicerie / magasin,1248,46.302757,6.245795
La Ferme du Torry (Vente directe),Chemin de Chirilinge 1,Épicerie / magasin,1295,46.309172,6.163074
Les 3 Meules,Marché des Grottes,Marché / vente directe,1201,46.21002,6.1394
Les 3 Meules,Marché de Plainpalais,Marché / vente directe,1205,46.1994,6.1394
Les 3 Meules,Marché de Rive,Marché / vente directe,1204,46.201647,6.15389
Le Jardin de Max,Marché de Chêne-Bourg,Marché / vente directe,1225,46.20162,6.1806
"Julien Monney, pêcheur",Marché de Rive,Marché / vente directe,1204,46.202067,6.15424
"Julien Monney, pêcheur",Marché de Meinier,Marché / vente directe,1252,46.26642,6.2333
La Ferme du Torry,Marché des Grottes,Marché / vente directe,1201,46.21058,6.1394
La Ferme du Torry,Marché de Rive,Marché / vente directe,1204,46.202067,6.153539
La Vacherie du Carre – Ferme Marc Jaquet,Marché de Chêne-Bourg,Marché / vente directe,1225,46.20218,6.1806
La Vacherie du Carre – Ferme Marc Jaquet,Marché de Meinier,Marché / vente directe,1252,46.26698,6.2333
La Vacherie du Carre – Ferme Marc Jaquet,Marché de Corsier,Marché / vente directe,1246,46.2833,6.2333
Ferme des Vergers,"Vente à la ferme, 4 Av. J.-D.-Maillard, Meyrin",Marché / vente directe,1217,46.2333,6.0778
